"field" "block_n" "trt_id" "entropy" "lower_ci" "upper_ci" "sigma" "posterior_prob"
"1" 1 4 1 1.0688343100029 -4.081074915 -1.1123566275 0.704614648696946 NA
"2" 1 4 2 1.81314669198086 -5.3245603325 -0.903556487250001 1.4832092595675 0.423333333333333
"3" 1 4 3 1.68275156929698 -3.4023198025 1.740294415 1.30188476808186 0.926666666666667
"4" 1 4 4 1.82694539566819 -4.4871229775 -0.24769426075 1.5038174810273 0.706666666666667
"5" 1 4 5 1.63649902210337 -5.978374225 -0.540719740250002 1.24304061739167 0.74
"6" 1 4 6 1.95731889660902 -2.73559522 2.5884735825 1.71322980419192 0.96
"7" 1 4 7 1.75153450424502 -0.74319984 3.49991975 1.39458373241441 0.996666666666667
"8" 1 4 8 1.89408794719462 -2.5894112975 2.769234695 1.6082544752529 1
"9" 1 4 9 2.10847141592943 -2.732780445 4.068781485 1.99278445175464 0.923333333333333
"10" 1 4 10 1.47875949664409 -0.79706762175 3.4737842925 1.06164645599925 1
"11" 1 4 11 1.69953483530544 -1.8109927325 3.3675149775 1.32391903270762 1
"12" 1 4 12 1.579405393356 1.30610329 5.1833678225 1.1740588643628 1
"13" 1 4 13 1.22725406934335 4.8992381 8.6310046075 0.825567323723546 1
"14" 1 4 14 2.08874043938894 0.10168737 6.5454403375 1.95385023664898 1
"15" 1 4 15 2.61459418339859 -1.2256540375 8.35362356 3.30572445901178 1
"16" 1 6 1 1.78109355907174 -7.2075155525 -2.0627367175 1.4364216072056 NA
"17" 1 6 2 1.85381859709558 -1.6640333775 2.543077545 1.54477777320481 1
"18" 1 6 3 1.60329639765673 -5.176132295 -0.380823187 1.20244605880864 0.81
"19" 1 6 4 1.73830086065086 -5.1911171325 -0.59545167525 1.37624988768621 0.773333333333333
"20" 1 6 5 1.72330811272909 -5.674109015 -0.542348995750004 1.35577002835172 0.766666666666667
"21" 1 6 6 2.00357708913144 -3.275191355 3.0208212575 1.79434231402295 0.98
"22" 1 6 7 1.32917070410036 -1.494714805 1.6923705275 0.914143398126981 1
"23" 1 6 8 1.62792828720259 -1.6055007675 2.17829710249999 1.23243237096093 1
"24" 1 6 9 1.39360488458047 -3.076347115 0.439585239999999 0.974984555498416 0.913333333333333
"25" 1 6 10 0.751317627973952 2.43012857 4.37853477 0.512927430295262 1
"26" 1 6 11 1.66317009651128 -0.8693792545 4.2021975225 1.27663991922543 1
"27" 1 6 12 1.45397478563432 0.82828155975 4.91049546 1.03565725321079 1
"28" 1 6 13 1.69485475363204 0.8618712955 5.3603178925 1.31773745992133 1
"29" 1 6 14 1.8062263569669 2.06058147 6.3369988325 1.47298038902354 1
"30" 1 6 15 1.40642543121562 1.07158127 4.887683905 0.987564861345118 1
"31" 1 10 1 1.87512866470048 -6.508630635 -0.690123103750001 1.57805035331917 NA
"32" 1 10 2 1.81983691844345 -3.977616945 1.326143425 1.4931655331317 0.926666666666667
"33" 1 10 3 1.79973447712732 -4.5382864175 0.788542101749999 1.46344894928747 0.853333333333333
"34" 1 10 4 1.66043410927075 -2.181978595 2.46955783 1.27315182256553 0.976666666666667
"35" 1 10 5 2.00392230798493 -5.00728184 1.3836384275 1.79496186175299 0.84
"36" 1 10 6 2.39471579267067 -5.1833549075 3.831896525 2.65322865682864 0.93
